,z1,z2,z3
1,"""2""",-1.73205080756888,-1
2,"""3""",-1.73205080756888,0
3,"""4""",-1.73205080756888,1
4,"""5""",-1,-1.73205080756888
5,"""6""",-1,-1
6,"""7""",-1,0
7,"""8""",-1,1
8,"""9""",-1,1.73205080756888
9,"""10""",-0.741963784302726,0
10,"""11""",0,-2.33441421833898
11,"""12""",0,-1.73205080756888
12,"""13""",0,-1
13,"""14""",0,-0.741963784302726
14,"""15""",0,0
15,"""16""",0,0.741963784302726
16,"""17""",0,1
17,"""18""",0,1.73205080756888
18,"""19""",0,2.33441421833898
19,"""20""",0.741963784302726,0
20,"""21""",1,-1.73205080756888
21,"""22""",1,-1
22,"""23""",1,0
23,"""24""",1,1
24,"""25""",1,1.73205080756888
25,"""26""",1.73205080756888,-1
26,"""27""",1.73205080756888,0
27,"""28""",1.73205080756888,1
28,"""29""",2.33441421833898,0
29,"""30""",-2.33441421833898,0